varId,subCategoryId,applies_to_tabs,category,subcategory,section,question,label,dataType,lookupGroupId,associationSpecific
14362,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Post Graduate: 5-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Post Graduate: 5-Day Boarding,integer,,False
14363,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Post Graduate: 7-Day Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Post Graduate: 7-Day Boarding,integer,,False
14364,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Post Graduate: Total Boarding,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Post Graduate: Total Boarding,integer,,False
1527,2,True,Students,Enrollment on Opening Day,Full-Time Day and Boarding Enrollment by Grade,Enrollment by Grade: Post Graduate: Total,Students -> Enrollment on Opening Day -> Full-Time Day and Boarding Enrollment by Grade -> Enrollment by Grade: Post Graduate: Total,integer,,False
4574,2,True,Students,Enrollment on Opening Day,Home Stay for International Students,School Offers Home Stays,Students -> Enrollment on Opening Day -> Home Stay for International Students -> School Offers Home Stays,choiceSingle,1,False
11565,2,True,Students,Enrollment on Opening Day,International Enrollment,Number of International Students: F-1 Visa,Students -> Enrollment on Opening Day -> International Enrollment -> Number of International Students: F-1 Visa,integer,,False
11566,2,True,Students,Enrollment on Opening Day,International Enrollment,Number of International Students: J-1 Visa,Students -> Enrollment on Opening Day -> International Enrollment -> Number of International Students: J-1 Visa,integer,,False
11567,2,True,Students,Enrollment on Opening Day,International Enrollment,Number of International Students: Other Visas,Students -> Enrollment on Opening Day -> International Enrollment -> Number of International Students: Other Visas,integer,,False
11568,2,True,Students,Enrollment on Opening Day,International Enrollment,Grade level of youngest international student: F-1 Visa,Students -> Enrollment on Opening Day -> International Enrollment -> Grade level of youngest international student: F-1 Visa,choiceSingle,7,False
11569,2,True,Students,Enrollment on Opening Day,International Enrollment,Grade level of youngest international student: J-1 Visa,Students -> Enrollment on Opening Day -> International Enrollment -> Grade level of youngest international student: J-1 Visa,choiceSingle,7,False
11570,2,True,Students,Enrollment on Opening Day,International Enrollment,Grade level of youngest international student: Other Visas,Students -> Enrollment on Opening Day -> International Enrollment -> Grade level of youngest international student: Other Visas,choiceSingle,7,False
